,time,open,high,low,close,volume
2997,2024-07-31,14.58,14.58,12.13,12.13,6900
2998,2024-08-01,14.19,14.19,10.84,10.84,1002
2999,2024-08-02,12.58,12.58,11.48,11.48,5108
3000,2024-08-05,13.36,13.36,10.07,10.07,5851
3001,2024-08-06,12.26,12.26,10.45,11.61,18611
3002,2024-08-07,11.61,11.61,11.55,11.61,22600
3003,2024-08-08,13.23,13.23,11.42,11.48,57207
3004,2024-08-09,11.74,11.74,11.36,11.36,25700
3005,2024-08-12,12.26,12.26,11.94,11.94,12700
3006,2024-08-13,11.94,11.94,11.94,11.94,0
3007,2024-08-14,11.94,11.94,11.94,11.94,16
3008,2024-08-15,10.45,11.61,10.45,11.61,698
3009,2024-08-16,12.19,12.19,10.07,10.32,4037
3010,2024-08-19,10.39,11.42,9.1,11.42,537
3011,2024-08-20,11.42,11.42,9.74,10.26,300
3012,2024-08-21,10.19,10.19,10.19,10.19,1908
3013,2024-08-22,10.19,11.36,9.74,11.36,1601
3014,2024-08-23,11.36,11.48,9.03,11.16,47200
3015,2024-08-26,10.32,10.32,10.32,10.32,100
3016,2024-08-27,9.36,9.87,9.36,9.81,4518
3017,2024-08-28,9.61,9.81,9.61,9.81,200
3018,2024-08-29,9.87,9.87,9.87,9.87,201
3019,2024-08-30,9.68,9.74,9.68,9.74,269
3020,2024-09-04,9.74,9.74,9.74,9.74,0
3021,2024-09-05,9.74,9.74,9.74,9.74,3
3022,2024-09-06,9.74,10.58,9.03,9.03,805
3023,2024-09-09,9.81,9.81,9.81,9.81,0
3024,2024-09-10,9.68,9.68,9.68,9.68,600
3025,2024-09-11,9.68,9.68,9.68,9.68,1
3026,2024-09-12,9.03,9.03,9.03,9.03,2000
3027,2024-09-13,9.03,9.03,9.03,9.03,0
3028,2024-09-16,9.03,9.03,9.03,9.03,20
3029,2024-09-17,9.03,9.03,9.03,9.03,2151
3030,2024-09-18,9.03,9.03,9.03,9.03,4100
3031,2024-09-19,9.03,9.03,9.03,9.03,52
3032,2024-09-20,9.03,10.32,9.03,10.32,2722
3033,2024-09-23,9.42,10.32,9.23,9.23,1140
3034,2024-09-24,10.0,10.0,10.0,10.0,100
3035,2024-09-25,10.0,10.58,9.55,9.55,800
3036,2024-09-26,9.55,9.55,9.55,9.55,400
3037,2024-09-27,9.55,9.55,9.55,9.55,100
3038,2024-09-30,9.68,9.68,9.68,9.68,3031
3039,2024-10-01,9.36,9.36,9.36,9.36,100
3040,2024-10-02,9.36,9.36,9.36,9.36,400
3041,2024-10-03,10.32,10.32,10.32,10.32,100
3042,2024-10-04,10.32,10.32,10.32,10.32,0
3043,2024-10-07,9.81,9.81,9.81,9.81,602
3044,2024-10-08,9.81,9.81,9.81,9.81,0
3045,2024-10-09,9.1,9.1,9.03,9.03,6900
3046,2024-10-10,9.03,9.03,9.03,9.03,0
3047,2024-10-11,9.36,9.36,9.36,9.36,1500
3048,2024-10-14,9.36,9.36,9.36,9.36,0
3049,2024-10-15,9.36,9.36,9.03,9.03,2700
3050,2024-10-16,9.23,9.23,9.23,9.23,402
3051,2024-10-17,9.23,9.23,9.23,9.23,0
3052,2024-10-18,9.23,9.23,9.23,9.23,101
3053,2024-10-21,9.23,9.23,9.23,9.23,0
3054,2024-10-22,9.23,9.23,9.23,9.23,0
3055,2024-10-23,9.23,9.23,9.23,9.23,1
3056,2024-10-24,9.03,9.03,9.03,9.03,900
3057,2024-10-25,9.03,9.03,9.03,9.03,0
3058,2024-10-28,9.03,9.03,9.03,9.03,250
3059,2024-10-29,9.03,9.03,9.03,9.03,1100
3060,2024-10-30,9.03,9.03,9.03,9.03,101
3061,2024-10-31,9.03,9.03,9.03,9.03,100
3062,2024-11-01,8.77,8.77,8.77,8.77,100
3063,2024-11-04,8.71,8.71,8.71,8.71,100
3064,2024-11-05,8.71,8.71,8.71,8.71,120
3065,2024-11-06,8.71,8.71,8.39,8.39,1101
3066,2024-11-07,9.03,9.03,8.97,9.03,1601
3067,2024-11-08,8.97,8.97,8.97,8.97,0
3068,2024-11-11,8.97,8.97,8.97,8.97,0
3069,2024-11-12,8.97,9.03,8.97,9.03,2800
3070,2024-11-13,10.26,10.26,10.26,10.26,100
3071,2024-11-14,10.26,10.26,10.26,10.26,0
3072,2024-11-15,9.36,9.36,9.36,9.36,600
3073,2024-11-18,9.42,9.42,9.42,9.42,507
3074,2024-11-19,9.42,9.48,9.42,9.48,2688
3075,2024-11-20,9.42,9.42,9.42,9.42,5
3076,2024-11-21,9.42,9.42,9.42,9.42,300
3077,2024-11-22,9.42,9.42,9.42,9.42,0
3078,2024-11-25,9.48,9.48,9.48,9.48,800
3079,2024-11-26,9.42,9.42,9.42,9.42,100
3080,2024-11-27,9.42,9.42,9.42,9.42,0
3081,2024-11-28,9.42,9.42,9.42,9.42,0
3082,2024-11-29,9.42,9.42,9.42,9.42,0
3083,2024-12-02,9.42,9.42,9.42,9.42,0
3084,2024-12-03,9.42,9.42,9.42,9.42,0
3085,2024-12-04,9.42,9.42,9.42,9.42,0
3086,2024-12-05,9.42,9.42,9.42,9.42,0
3087,2024-12-06,9.42,9.42,9.42,9.42,0
3088,2024-12-09,9.03,9.29,9.03,9.29,4600
3089,2024-12-10,9.16,9.16,9.16,9.16,0
3090,2024-12-11,9.03,9.03,9.03,9.03,3300
3091,2024-12-12,9.03,9.03,9.03,9.03,0
3092,2024-12-13,9.03,9.03,9.03,9.03,0
3093,2024-12-16,9.03,9.03,9.03,9.03,500
3094,2024-12-17,9.03,9.03,9.03,9.03,100
3095,2024-12-18,9.03,9.03,9.03,9.03,0
3096,2024-12-19,9.03,9.03,9.03,9.03,0
3097,2024-12-20,10.32,10.32,10.32,10.32,101
3098,2024-12-23,10.32,10.32,10.32,10.32,0
3099,2024-12-24,9.36,9.36,9.36,9.36,101
3100,2024-12-25,10.32,10.32,10.32,10.32,1000
3101,2024-12-26,11.74,11.74,10.19,10.32,1600
3102,2024-12-27,10.39,10.39,10.39,10.39,0
3103,2024-12-30,10.32,10.65,10.07,10.07,4733
3104,2024-12-31,10.65,12.0,10.65,11.94,22801
3105,2025-01-02,11.68,12.26,11.68,12.26,1201
3106,2025-01-03,12.26,12.9,11.55,11.55,5400
3107,2025-01-06,12.58,12.58,12.58,12.58,0
3108,2025-01-07,12.9,12.9,12.9,12.9,17900
3109,2025-01-08,14.84,14.84,12.9,12.9,5700
3110,2025-01-09,13.23,13.23,12.9,12.9,5000
3111,2025-01-10,13.03,13.03,13.03,13.03,0
3112,2025-01-13,13.03,13.03,13.03,13.03,0
3113,2025-01-14,12.9,12.9,12.26,12.26,900
3114,2025-01-15,10.97,10.97,10.97,10.97,100
3115,2025-01-16,12.58,12.58,12.58,12.58,100
3116,2025-01-17,12.58,12.58,12.58,12.58,0
3117,2025-01-20,12.58,12.58,12.58,12.58,0
3118,2025-01-21,12.58,12.58,12.58,12.58,0
3119,2025-01-22,14.39,14.39,10.77,13.55,308
3120,2025-01-23,13.23,13.23,13.23,13.23,100
3121,2025-01-24,13.16,13.23,13.16,13.23,200
3122,2025-02-03,13.1,13.1,13.1,13.1,100
3123,2025-02-04,12.84,13.03,12.84,13.03,200
3124,2025-02-05,14.19,14.19,11.1,12.9,1631
3125,2025-02-06,11.55,11.61,11.55,11.61,2100
3126,2025-02-07,11.61,11.61,11.55,11.55,3310
3127,2025-02-10,11.61,11.61,11.55,11.55,26100
3128,2025-02-11,11.61,12.26,11.55,11.68,34400
3129,2025-02-12,11.74,11.74,11.61,11.61,4500
3130,2025-02-13,11.61,13.42,11.61,13.42,30609
3131,2025-02-14,14.45,14.45,14.39,14.45,36002
3132,2025-02-17,16.58,16.58,16.58,16.58,5327
3133,2025-02-18,19.03,19.03,15.48,16.78,89596
3134,2025-02-19,20.97,20.97,15.55,15.68,27834
3135,2025-02-20,18.0,18.52,17.1,18.13,49712
3136,2025-02-21,19.36,20.9,19.36,20.9,106634
3137,2025-02-24,23.55,23.55,23.55,23.55,38267
3138,2025-02-25,27.03,27.03,24.07,27.03,113567
3139,2025-02-26,27.1,27.1,22.84,22.84,32598
3140,2025-02-27,20.65,26.52,19.68,25.81,154629
3141,2025-02-28,24.52,25.03,20.65,23.23,15478
3142,2025-03-03,22.9,22.9,19.29,20.52,55146
3143,2025-03-19,19.87,19.87,19.87,19.87,59100
3144,2025-03-20,21.16,21.42,18.32,18.71,24685
3145,2025-03-21,17.48,19.03,16.84,16.84,18915
3146,2025-03-24,15.36,16.45,15.16,16.45,34481
3147,2025-03-25,17.81,17.81,14.9,15.42,22316
3148,2025-03-26,15.42,15.42,15.29,15.36,1900
3149,2025-03-27,15.23,16.84,13.87,15.94,122927
3150,2025-03-28,17.42,17.42,15.94,15.94,6327
3151,2025-03-31,15.94,17.1,14.71,15.81,9100
3152,2025-04-01,16.13,17.36,14.84,17.36,109032
3153,2025-04-02,18.52,18.52,16.26,16.58,27601
3154,2025-04-03,16.45,16.58,14.97,14.97,48342
3155,2025-04-04,13.48,15.16,13.48,14.19,19922
3156,2025-04-08,14.26,14.26,12.77,12.77,29221
3157,2025-04-09,13.68,13.68,11.55,11.55,29641
3158,2025-04-10,12.58,12.65,12.58,12.65,13103
3159,2025-04-11,13.81,13.87,12.07,13.74,34002
3160,2025-04-14,14.52,15.1,13.94,14.07,12755
3161,2025-04-15,14.84,15.29,13.29,13.74,8305
3162,2025-04-16,12.65,13.74,12.65,13.55,5600
3163,2025-04-17,12.52,13.61,12.52,13.61,29628
3164,2025-04-18,14.13,14.19,13.16,13.16,3101
3165,2025-04-21,12.65,12.65,12.39,12.65,5001
3166,2025-04-22,12.65,12.77,11.42,11.87,11301
3167,2025-04-23,11.23,12.07,11.23,12.0,10350
3168,2025-04-24,12.32,12.32,11.42,11.94,5400
3169,2025-04-25,11.1,12.26,11.03,12.13,15042
3170,2025-04-28,12.13,12.39,11.29,11.29,6600
3171,2025-04-29,11.29,11.74,11.03,11.36,18201
3172,2025-05-05,11.36,11.36,10.97,11.1,6801
3173,2025-05-06,11.23,11.61,11.16,11.16,6424
3174,2025-05-07,11.29,11.36,11.16,11.29,5900
3175,2025-05-08,11.23,11.29,10.77,11.23,6600
3176,2025-05-09,11.23,11.23,10.84,11.1,4410
3177,2025-05-12,11.1,11.1,10.77,10.77,20935
3178,2025-05-13,11.03,11.1,10.65,10.65,11909
3179,2025-05-14,10.65,10.71,10.58,10.58,3304
3180,2025-05-15,10.58,10.58,9.55,10.26,61560
3181,2025-05-16,10.45,10.45,10.0,10.32,8802
3182,2025-05-19,10.32,10.84,10.32,10.32,22900
3183,2025-05-20,10.52,11.36,10.52,11.36,30144
3184,2025-05-21,12.13,12.45,11.61,12.39,58268
3185,2025-05-22,13.48,13.48,11.61,12.07,9222
3186,2025-05-23,12.07,12.26,11.48,11.61,18000
3187,2025-05-26,11.68,11.68,11.23,11.55,12001
3188,2025-05-27,11.74,12.39,11.55,12.39,5768
3189,2025-05-28,12.77,12.77,11.94,12.32,21001
3190,2025-05-29,13.55,13.55,12.9,13.55,12201
3191,2025-05-30,14.9,14.9,14.9,14.9,16310
3192,2025-06-02,16.39,16.39,16.39,16.39,10053
3193,2025-06-03,18.0,18.0,14.9,18.0,155015
3194,2025-06-04,19.36,19.74,18.39,18.84,58974
3195,2025-06-05,19.36,19.36,17.1,17.48,60667
3196,2025-06-06,17.23,17.48,15.81,16.0,56929
3197,2025-06-09,16.0,17.36,16.0,16.78,21386
3198,2025-06-10,18.0,18.0,15.87,16.78,21705
3199,2025-06-11,17.68,17.68,16.26,16.58,24902
3200,2025-06-12,16.58,16.78,16.19,16.78,11832
3201,2025-06-13,16.45,17.74,16.45,17.42,38810
3202,2025-06-16,18.0,18.0,16.9,17.48,11701
3203,2025-06-17,17.68,17.74,16.45,16.97,11566
3204,2025-06-18,16.97,16.97,16.13,16.26,20010
3205,2025-06-19,16.0,16.39,15.81,16.26,7404
3206,2025-06-20,16.19,16.26,15.29,16.26,11950
3207,2025-06-23,16.26,16.45,15.55,16.45,6500
3208,2025-06-24,16.13,16.13,15.94,15.94,2603
3209,2025-06-25,15.87,17.42,15.55,16.0,15500
3210,2025-06-26,16.78,16.78,16.13,16.13,4800
3211,2025-06-27,16.71,16.71,15.94,16.39,2370
3212,2025-06-30,16.39,16.78,15.81,16.71,20198
3213,2025-07-01,16.71,17.03,16.71,16.78,6749
3214,2025-07-02,16.78,16.78,16.19,16.19,4532
3215,2025-07-03,17.1,17.1,16.13,16.32,7596
3216,2025-07-04,16.13,16.19,15.61,15.61,14100
3217,2025-07-07,15.61,16.13,15.61,16.13,17300
3218,2025-07-08,16.13,16.13,15.81,16.13,7600
3219,2025-07-09,16.78,17.74,16.78,17.74,20094
3220,2025-07-10,19.49,19.49,19.49,19.49,51871
3221,2025-07-11,21.36,21.42,18.58,20.0,47909
3222,2025-07-14,20.0,20.0,18.71,19.1,12402
3223,2025-07-15,18.78,19.1,17.68,18.19,49101
3224,2025-07-16,19.16,19.16,18.07,19.16,26504
3225,2025-07-17,20.65,20.65,18.71,18.84,24860
3226,2025-07-18,19.29,19.29,18.39,18.71,22825
3227,2025-07-21,18.71,20.32,18.71,20.32,60577
3228,2025-07-22,20.32,20.9,19.81,20.39,20717
3229,2025-07-23,20.45,20.45,19.36,19.68,30649
3230,2025-07-24,19.23,19.61,18.9,19.61,29756
3231,2025-07-25,19.94,19.94,18.84,19.29,41290
3232,2025-07-28,19.55,19.55,19.29,19.55,39503
3233,2025-07-29,19.55,19.87,19.16,19.16,31794
3234,2025-07-30,19.36,19.36,18.97,19.23,11701
3235,2025-07-31,19.36,19.36,19.03,19.16,21347
3236,2025-08-01,19.16,19.36,18.07,18.9,40254
3237,2025-08-04,19.5,20.7,19.0,20.7,62044
3238,2025-08-05,20.9,20.9,19.9,20.0,27978
3239,2025-08-06,20.0,20.0,19.2,19.5,23157
3240,2025-08-07,19.4,20.5,19.4,19.7,12860
3241,2025-08-08,19.4,19.6,19.4,19.6,10230
3242,2025-08-11,19.6,20.0,19.4,19.6,16862
3243,2025-08-12,19.6,20.0,19.5,19.6,18636
3244,2025-08-13,19.6,19.6,19.0,19.2,19200
3245,2025-08-14,19.3,20.0,19.3,19.9,48894
3246,2025-08-15,19.9,19.9,19.0,19.0,22800
3247,2025-08-18,19.0,20.6,19.0,19.8,22600
3248,2025-08-19,19.2,19.7,19.2,19.3,6800
3249,2025-08-20,19.3,19.3,18.0,18.4,25600
3250,2025-08-21,18.4,19.0,18.0,18.4,9300
3251,2025-08-22,18.0,18.3,16.9,17.4,34100
3252,2025-08-25,17.4,17.4,16.8,17.3,7000
3253,2025-08-26,17.3,17.3,16.7,17.2,8000
3254,2025-08-27,17.2,17.2,17.1,17.2,8000
3255,2025-08-28,17.1,17.3,17.1,17.3,7000
3256,2025-08-29,17.4,17.4,17.0,17.1,3500
3257,2025-09-03,17.1,17.3,16.9,17.1,6700
3258,2025-09-04,17.1,17.2,17.0,17.2,8100
3259,2025-09-05,17.4,17.4,16.5,16.6,13600
3260,2025-09-08,16.6,16.6,16.0,16.0,10500
3261,2025-09-09,16.8,16.8,16.0,16.4,1900
3262,2025-09-10,16.4,16.8,16.4,16.6,1300
3263,2025-09-11,17.3,17.3,15.0,16.5,8200
3264,2025-09-12,16.9,16.9,16.0,16.6,5900
3265,2025-09-15,17.2,17.2,16.4,16.5,6200
3266,2025-09-16,16.5,16.5,16.3,16.3,2300
3267,2025-09-17,16.6,16.6,16.6,16.6,100
3268,2025-09-18,15.6,16.0,15.6,15.9,5100
3269,2025-09-19,15.9,16.2,15.5,15.6,7600
3270,2025-09-22,15.5,15.5,15.4,15.4,4800
3271,2025-09-23,16.3,16.3,15.5,15.9,800
3272,2025-09-24,15.9,16.0,15.2,16.0,2200
3273,2025-09-25,16.0,16.2,16.0,16.2,5100
3274,2025-09-26,16.2,17.8,15.7,17.8,113300
3275,2025-09-29,18.0,19.2,17.0,17.8,5900
3276,2025-09-30,16.3,17.6,16.1,16.7,36300
3277,2025-10-01,16.7,16.7,15.5,16.0,15000
3278,2025-10-02,16.0,16.0,15.5,15.9,8600
3279,2025-10-03,16.0,16.0,15.1,15.5,9100
3280,2025-10-06,15.3,15.7,15.2,15.5,22600
3281,2025-10-07,15.4,16.0,15.4,15.5,2800
3282,2025-10-08,15.7,15.7,15.2,15.4,3700
3283,2025-10-09,15.2,15.6,15.0,15.4,14500
3284,2025-10-10,15.2,15.4,15.2,15.4,12000
3285,2025-10-13,15.9,16.8,15.9,16.2,21500
3286,2025-10-14,16.2,16.2,15.3,15.8,10000
3287,2025-10-15,15.8,16.1,15.2,15.7,12800
3288,2025-10-16,15.3,15.7,15.1,15.5,11800
